t,trajectory,n_pierce,n_pierce_x,n_pierce_y,n_pierce_z,n_lines,n_lines_closed,n_lines_open,L_total,L_closed,L_max,n_peak,integrality_error
0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.217838287353516,1.7881393432617188e-07
0.025252525252525252,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.2772216796875,1.7881393432617188e-07
0.050505050505050504,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.2618293762207,1.7881393432617188e-07
0.07575757575757576,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.13248825073242,1.7881393432617188e-07
0.10101010101010101,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.043155670166016,1.7881393432617188e-07
0.12626262626262627,0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.912628173828125,1.7881393432617188e-07
0.15151515151515152,0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.70713806152344,1.7881393432617188e-07
0.17676767676767677,0,13,1,2,10,1,0,1,1.0236963331699371,0.0,1.0236963331699371,58.477508544921875,1.7881393432617188e-07
0.20202020202020202,0,27,1,3,23,1,0,1,2.2986433506011963,0.0,2.2986433506011963,58.231876373291016,1.7881393432617188e-07
0.22727272727272727,0,39,1,5,33,3,0,3,3.2133854031562805,0.0,3.075971841812134,57.86037826538086,1.7881393432617188e-07
0.25252525252525254,0,70,2,10,58,2,0,2,5.981187999248505,0.0,3.756134271621704,57.47163391113281,1.7881393432617188e-07
0.2777777777777778,0,105,2,15,88,2,0,2,9.097407341003418,0.0,4.758276700973511,57.080726623535156,1.7881393432617188e-07
0.30303030303030304,0,120,4,15,101,2,0,2,10.44106113910675,0.0,5.466898411512375,57.47737121582031,1.7881393432617188e-07
0.3282828282828283,0,127,4,14,109,2,0,2,11.178142130374908,0.0,5.815315157175064,57.98338317871094,1.7881393432617188e-07
0.35353535353535354,0,134,4,15,115,2,0,2,11.801385998725891,0.0,6.09502512216568,58.31159973144531,1.7881393432617188e-07
0.3787878787878788,0,136,4,11,121,2,0,2,12.25185164809227,0.0,6.1970740258693695,58.64219284057617,1.7881393432617188e-07
0.40404040404040403,0,138,3,10,125,2,0,2,12.474643051624298,0.0,6.282451868057251,58.86231231689453,1.7881393432617188e-07
0.4292929292929293,0,146,4,11,131,2,0,2,13.13813441991806,0.0,6.614197552204132,58.87141799926758,1.7881393432617188e-07
0.45454545454545453,0,152,4,12,136,2,0,2,13.69267150759697,0.0,6.905695736408234,58.67638397216797,1.7881393432617188e-07
0.4797979797979798,0,159,4,14,141,2,0,2,14.258996814489365,0.0,7.180522859096527,59.56958770751953,1.7881393432617188e-07
0.5050505050505051,0,164,4,15,145,2,0,2,14.687908560037613,0.0,7.483809262514114,61.600894927978516,1.7881393432617188e-07
0.5303030303030304,0,170,4,16,150,2,0,2,15.185527086257935,0.0,7.6899296045303345,63.50554656982422,1.7881393432617188e-07
0.5555555555555557,0,185,6,18,161,3,0,3,16.375096261501312,0.0,7.6899296045303345,66.32200622558594,1.7881393432617188e-07
0.580808080808081,0,199,6,20,173,5,0,5,17.512629717588425,0.0,7.798883885145187,71.00305938720703,1.7881393432617188e-07
0.6060606060606063,0,231,7,26,198,4,0,4,20.235301971435547,0.0,7.90783816576004,75.68553924560547,1.7881393432617188e-07
0.6313131313131316,0,246,5,27,214,4,0,4,21.72125217318535,0.0,7.964756727218628,80.30535125732422,1.7881393432617188e-07
0.6565656565656569,0,271,7,32,232,4,0,4,23.72351449728012,0.0,8.102170288562775,84.83258819580078,1.7881393432617188e-07
0.6818181818181822,0,282,7,29,246,4,0,4,24.963096857070923,0.0,8.095264911651611,89.26348876953125,1.7881393432617188e-07
0.7070707070707075,0,295,8,28,259,4,0,4,26.311181902885437,0.0,8.159088850021362,94.79098510742188,1.7881393432617188e-07
0.7323232323232328,0,313,8,29,276,4,0,4,27.975244760513306,0.0,8.220890253782272,101.03126525878906,1.7881393432617188e-07
0.7575757575757581,0,318,4,30,284,4,0,4,28.60337147116661,0.0,8.078593850135803,107.21443939208984,1.7881393432617188e-07
0.7828282828282834,0,317,2,24,291,4,0,4,28.93309462070465,0.0,8.192430973052979,113.22338104248047,1.7881393432617188e-07
0.8080808080808087,0,324,4,24,296,4,0,4,29.499419927597046,0.0,8.192430973052979,118.99449157714844,1.7881393432617188e-07
0.833333333333334,0,322,4,19,299,4,0,4,29.618139892816544,0.0,8.140395253896713,124.52754211425781,1.7881393432617188e-07
0.8585858585858593,0,356,6,20,330,6,0,6,32.585157454013824,0.0,8.11193597316742,129.72265625,1.7881393432617188e-07
0.8838383838383846,0,381,6,22,353,6,0,6,34.95739042758942,0.0,8.07168847322464,134.49520874023438,1.7881393432617188e-07
0.90909090909091,0,396,4,19,373,6,0,6,36.58563703298569,0.0,8.128607034683228,138.80264282226562,1.7881393432617188e-07
0.9343434343434353,0,410,4,21,385,6,0,6,37.860584050416946,0.0,8.209102034568787,142.61048889160156,1.7881393432617188e-07
0.9595959595959606,0,417,3,20,394,6,0,6,38.65458360314369,0.0,8.088359534740448,145.8982696533203,1.7881393432617188e-07
0.9848484848484859,0,426,3,20,403,6,0,6,39.55753743648529,0.0,8.289597034454346,148.63873291015625,1.7881393432617188e-07
1.010101010101011,0,443,3,25,415,6,0,6,40.8963083922863,0.0,8.306268095970154,150.82093811035156,1.7881393432617188e-07
1.0353535353535364,0,447,3,21,423,6,0,6,41.484187602996826,0.0,8.306268095970154,152.43544006347656,1.7881393432617188e-07
1.0606060606060617,0,453,3,23,427,6,0,6,42.01026540994644,0.0,8.374974876642227,153.45120239257812,1.7881393432617188e-07
1.085858585858587,0,452,2,21,429,6,0,6,42.02693647146225,0.0,8.346515595912933,153.8773651123047,1.7881393432617188e-07
1.1111111111111123,0,457,2,23,432,6,0,6,42.39892965555191,0.0,8.386763095855713,153.72894287109375,1.7881393432617188e-07
1.1363636363636376,0,456,1,23,432,6,0,6,42.387141436338425,0.0,8.363186657428741,153.02227783203125,1.7881393432617188e-07
1.1616161616161629,0,457,1,24,432,6,0,6,42.39892965555191,0.0,8.403434157371521,151.77420043945312,1.7881393432617188e-07
1.1868686868686882,0,457,1,26,430,6,0,6,42.285092532634735,0.0,8.363186657428741,150.01351928710938,1.7881393432617188e-07
1.2121212121212135,0,457,0,29,428,6,0,6,42.17125540971756,0.0,8.4436816573143,147.77182006835938,1.7881393432617188e-07
1.2373737373737388,0,454,0,28,426,6,0,6,41.936675786972046,0.0,8.403434157371521,145.08753967285156,1.7881393432617188e-07
1.262626262626264,0,452,0,30,422,6,0,6,41.628506541252136,0.0,8.4436816573143,141.99481201171875,1.7881393432617188e-07
1.2878787878787894,0,437,0,26,411,6,0,6,40.39868986606598,0.0,8.363186657428741,138.53472900390625,1.7881393432617188e-07
1.3131313131313147,0,426,0,29,397,6,0,6,39.15910750627518,0.0,8.363186657428741,134.76327514648438,1.7881393432617188e-07
1.33838383838384,0,415,1,29,385,6,0,6,38.061821550130844,0.0,8.363186657428741,130.6995849609375,1.7881393432617188e-07
1.3636363636363653,0,401,1,32,368,6,0,6,36.53074100613594,0.0,8.4436816573143,126.38292694091797,1.7881393432617188e-07
1.3888888888888906,0,374,1,27,346,6,0,6,34.277227997779846,0.0,8.266020596027374,121.92390441894531,1.7881393432617188e-07
1.414141414141416,0,342,1,26,315,5,0,5,31.208161532878876,0.0,8.266020596027374,117.28951263427734,1.7881393432617188e-07
1.4393939393939412,0,322,1,23,298,4,0,4,29.561221331357956,0.0,8.306268095970154,112.553466796875,1.7881393432617188e-07
1.4646464646464665,0,318,2,20,296,4,0,4,29.286394208669662,0.0,8.209102034568787,107.70848846435547,1.7881393432617188e-07
1.4898989898989918,0,312,2,20,290,4,0,4,28.674938559532166,0.0,8.168854534626007,102.79048919677734,1.7881393432617188e-07
1.5151515151515171,0,309,0,22,287,4,0,4,28.411899656057358,0.0,8.209102034568787,97.82617950439453,1.7881393432617188e-07
1.5404040404040424,0,304,0,22,282,4,0,4,27.897610068321228,0.0,8.168854534626007,92.8722152709961,1.7881393432617188e-07
1.5656565656565677,0,300,0,24,276,4,0,4,27.395108699798584,0.0,8.168854534626007,87.94039154052734,1.7881393432617188e-07
1.590909090909093,0,294,0,25,269,4,0,4,26.840571612119675,0.0,8.128607034683228,83.05091857910156,1.7881393432617188e-07
1.6161616161616184,0,290,0,28,262,4,0,4,26.224233120679855,0.0,8.152183473110199,78.22564697265625,1.7881393432617188e-07
1.6414141414141437,0,281,0,26,255,4,0,4,25.463575690984726,0.0,8.168854534626007,73.48919677734375,1.7881393432617188e-07
1.666666666666669,0,268,0,24,244,4,0,4,24.314254015684128,0.0,8.07168847322464,68.87797546386719,1.7881393432617188e-07
1.6919191919191943,0,258,0,25,233,4,0,4,23.314134120941162,0.0,7.974522411823273,64.40308380126953,1.7881393432617188e-07
1.7171717171717196,0,233,0,20,213,4,0,4,21.31096860766411,0.0,7.974522411823273,60.06538391113281,1.7881393432617188e-07
1.7424242424242449,0,211,1,21,189,3,0,3,18.958332419395447,0.0,8.095264911651611,55.87562942504883,1.7881393432617188e-07
1.7676767676767702,0,204,1,21,182,3,0,3,18.335088551044464,0.0,8.014769911766052,52.35893630981445,1.7881393432617188e-07
1.7929292929292955,0,176,0,19,157,3,0,3,15.756735235452652,0.0,7.9411802887916565,50.803123474121094,1.7881393432617188e-07
1.8181818181818208,0,168,0,16,152,2,0,2,15.21886920928955,0.0,7.706600666046143,49.590309143066406,1.7881393432617188e-07
1.843434343434346,0,166,0,16,150,2,0,2,15.024537086486816,0.0,7.706600666046143,48.281890869140625,1.7881393432617188e-07
1.8686868686868714,0,164,0,18,146,2,0,2,14.7448271214962,0.0,7.512268543243408,46.87396240234375,1.7881393432617188e-07
1.8939393939393967,0,164,0,20,144,2,0,2,14.602530717849731,0.0,7.552516043186188,45.37741470336914,1.7881393432617188e-07
1.919191919191922,0,159,0,20,139,2,0,2,14.116700410842896,0.0,7.277688920497894,43.80482482910156,1.7881393432617188e-07
1.9444444444444473,0,159,0,23,136,2,0,2,13.945944726467133,0.0,7.358183920383453,42.270057678222656,1.7881393432617188e-07
1.9696969696969726,0,153,0,22,131,2,0,2,13.419866919517517,0.0,7.1236042976379395,40.921199798583984,1.7881393432617188e-07
1.994949494949498,0,148,0,22,126,2,0,2,12.934036612510681,0.0,6.8890246748924255,39.944854736328125,1.7881393432617188e-07
2.020202020202023,0,142,0,22,120,2,0,2,12.379499524831772,0.0,6.557278990745544,39.58711624145508,1.7881393432617188e-07
