t,trajectory,n_pierce,n_pierce_x,n_pierce_y,n_pierce_z,n_lines,n_lines_closed,n_lines_open,L_total,L_closed,L_max,n_peak,integrality_error
0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.09535217285156,1.7881393432617188e-07
0.025,0,0,0,0,0,0,0,0,0.0,0.0,0.0,59.35039138793945,1.7881393432617188e-07
0.05,0,9,0,0,9,1,0,1,0.7710843533277512,0.0,0.7710843533277512,60.2067756652832,1.7881393432617188e-07
0.07500000000000001,0,73,0,12,61,2,0,2,6.165837347507477,0.0,3.2440342605113983,60.71242904663086,1.7881393432617188e-07
0.1,0,107,0,16,91,2,0,2,9.217100374400616,0.0,4.656742922961712,60.84103775024414,1.7881393432617188e-07
0.125,0,124,0,14,110,2,0,2,10.968577347695827,0.0,5.660522669553757,60.988441467285156,1.7881393432617188e-07
0.15,0,201,0,22,179,4,0,4,17.774032793939114,0.0,6.11906311661005,61.35436248779297,1.7881393432617188e-07
0.175,0,259,0,27,232,4,0,4,23.053856797516346,0.0,6.488068260252476,61.15305709838867,1.7881393432617188e-07
0.19999999999999998,0,288,0,31,257,4,0,4,25.623192377388477,0.0,7.049844227731228,62.38870620727539,1.7881393432617188e-07
0.22499999999999998,0,321,0,39,282,4,0,4,28.380455158650875,0.0,7.804391421377659,62.36652374267578,1.7881393432617188e-07
0.24999999999999997,0,398,1,46,351,6,0,6,35.326167561113834,0.0,8.229857876896858,65.14737701416016,1.7881393432617188e-07
0.27499999999999997,0,449,2,35,412,6,0,6,40.722200363874435,0.0,8.296006366610527,70.17347717285156,1.7881393432617188e-07
0.3,0,484,1,38,445,6,0,6,43.87029653042555,0.0,8.528701730072498,73.13668060302734,1.7881393432617188e-07
0.325,0,525,1,42,482,8,0,8,47.45994859933853,0.0,8.528701767325401,83.67790985107422,1.7881393432617188e-07
0.35000000000000003,0,589,0,53,536,8,0,8,53.007547967135906,0.0,8.608550056815147,97.12336730957031,1.7881393432617188e-07
0.37500000000000006,0,644,0,51,593,9,0,9,58.437765911221504,0.0,8.512164555490017,110.60089111328125,1.7881393432617188e-07
0.4000000000000001,0,707,1,45,661,10,0,10,64.61173128336668,0.0,8.568625830113888,122.88453674316406,1.7881393432617188e-07
0.4250000000000001,0,743,0,42,701,10,0,10,68.27922562509775,0.0,8.50531455874443,132.9424285888672,1.7881393432617188e-07
0.4500000000000001,0,815,2,52,761,11,0,11,74.47329264879227,0.0,8.601699940860271,140.6304931640625,1.7881393432617188e-07
0.47500000000000014,0,905,1,61,843,12,0,12,82.59991566091776,0.0,8.72147250175476,146.77459716796875,1.7881393432617188e-07
0.5000000000000001,0,941,3,53,885,12,0,12,86.3803323507309,0.0,8.698085457086563,152.03590393066406,1.7881393432617188e-07
0.5250000000000001,0,986,4,55,927,14,0,14,90.3837563842535,0.0,8.777933903038502,156.06936645507812,1.7881393432617188e-07
0.5500000000000002,0,1036,7,59,970,14,0,14,94.8078041896224,0.0,8.81785799562931,158.78343200683594,1.7881393432617188e-07
0.5750000000000002,0,1025,3,62,960,14,0,14,93.80402497202158,0.0,8.641624182462692,159.9447479248047,1.7881393432617188e-07
0.6000000000000002,0,1004,3,73,928,13,0,13,91.25523986667395,0.0,8.801321037113667,159.6874542236328,1.7881393432617188e-07
0.6250000000000002,0,951,3,63,885,12,0,12,86.8360363766551,0.0,8.545238763093948,156.39833068847656,1.7881393432617188e-07
0.6500000000000002,0,919,5,66,848,12,0,12,83.44116102159023,0.0,8.625087022781372,149.6827850341797,1.7881393432617188e-07
0.6750000000000003,0,851,7,54,790,12,0,12,77.47978796809912,0.0,8.6250871270895,139.98056030273438,1.7881393432617188e-07
0.7000000000000003,0,779,4,58,717,10,0,10,70.67633938789368,0.0,8.601699985563755,128.1502227783203,1.7881393432617188e-07
0.7250000000000003,0,732,2,71,659,9,0,9,65.59329874813557,0.0,8.721472479403019,116.43743133544922,1.7881393432617188e-07
0.7500000000000003,0,699,2,70,627,9,0,9,62.497267842292786,0.0,8.665011249482632,104.62260437011719,1.7881393432617188e-07
0.7750000000000004,0,640,0,62,578,8,0,8,57.443289428949356,0.0,8.721472658216953,92.95967864990234,1.7881393432617188e-07
0.8000000000000004,0,595,2,53,540,9,0,9,53.4047836214304,0.0,8.721472464501858,81.81197357177734,1.7881393432617188e-07
0.8250000000000004,0,528,0,52,476,7,0,7,47.33733869343996,0.0,8.7049355879426,71.9747085571289,1.7881393432617188e-07
0.8500000000000004,0,511,1,70,440,7,0,7,44.59778863936663,0.0,8.592013016343117,66.03992462158203,1.7881393432617188e-07
0.8750000000000004,0,480,0,73,407,6,0,6,41.70577426254749,0.0,8.479090347886086,60.95128631591797,1.7881393432617188e-07
0.9000000000000005,0,410,1,58,351,6,0,6,35.77747569233179,0.0,8.110085353255272,56.6222038269043,1.7881393432617188e-07
0.9250000000000005,0,322,0,32,290,5,0,5,28.747453525662422,0.0,7.661231867969036,56.783287048339844,1.7881393432617188e-07
0.9500000000000005,0,266,0,30,236,4,0,4,23.559171348810196,0.0,7.122842617332935,57.04843521118164,1.7881393432617188e-07
